time,temp
2020-12-10 22:28:41,6.82
2020-12-10 22:28:42,6.82
2020-12-10 22:28:43,6.82
2020-12-10 22:28:44,6.82
2020-12-10 22:28:45,6.82
2020-12-10 22:28:46,6.82
2020-12-10 22:28:47,6.82
2020-12-10 22:28:48,6.82
2020-12-10 22:28:49,6.82
2020-12-10 22:28:50,6.82
2020-12-10 22:28:51,6.82
2020-12-10 22:28:52,6.82
2020-12-10 22:28:53,6.82
2020-12-10 22:28:54,6.82
2020-12-10 22:28:55,6.82
2020-12-10 22:28:56,6.82
2020-12-10 22:28:57,6.82
2020-12-10 22:28:58,6.82
2020-12-10 22:28:59,6.82
2020-12-10 22:29:00,6.82
2020-12-10 22:29:01,6.82
2020-12-10 22:29:02,6.82
2020-12-10 22:29:03,6.82
2020-12-10 22:29:04,6.82
2020-12-10 22:29:05,6.82
2020-12-10 22:29:06,6.82
2020-12-10 22:29:07,6.82
2020-12-10 22:29:08,6.82
2020-12-10 22:29:09,6.82
2020-12-10 22:29:10,6.82
2020-12-10 22:29:11,6.82
2020-12-10 22:29:12,6.82
2020-12-10 22:29:13,6.82
2020-12-10 22:29:14,6.82
2020-12-10 22:29:15,6.82
2020-12-10 22:29:16,6.82
2020-12-10 22:29:17,6.82
2020-12-10 22:29:18,6.82
2020-12-10 22:29:19,6.82
2020-12-10 22:29:20,6.82
2020-12-10 22:29:21,6.82
2020-12-10 22:29:22,6.82
2020-12-10 22:29:23,6.82
2020-12-10 22:29:24,6.82
2020-12-10 22:29:25,6.82
2020-12-10 22:29:26,6.82
2020-12-10 22:29:27,6.82
2020-12-10 22:29:28,6.82
2020-12-10 22:29:29,6.82
2020-12-10 22:29:30,6.82
2020-12-10 22:29:31,6.82
2020-12-10 22:29:32,6.82
2020-12-10 22:29:33,6.82
2020-12-10 22:29:34,6.82
2020-12-10 22:29:35,6.82
2020-12-10 22:29:36,6.82
2020-12-10 22:29:37,6.82
2020-12-10 22:29:38,6.82
2020-12-10 22:29:39,6.82
2020-12-10 22:29:40,6.82
