time,supply_temp,Speed,occupancy
14.11.2020 15:22:40,30.5,131,2
14.11.2020 15:22:41,30.6,143,2
14.11.2020 15:22:42,48.1,153,2
14.11.2020 15:22:43,30.6,140,2
14.11.2020 15:22:44,48.1,126,2
14.11.2020 15:22:45,31,143,2
14.11.2020 15:22:46,31.2,148,2
14.11.2020 15:22:47,48.1,151,2
14.11.2020 15:22:48,31.4,151,2
14.11.2020 15:22:49,31.2,137,2
14.11.2020 15:22:50,31.3,120,2
14.11.2020 15:22:51,48.1,134,2
14.11.2020 15:22:52,31.4,130,2
14.11.2020 15:22:53,31.2,119,2
14.11.2020 15:22:54,31.1,119,2
14.11.2020 15:22:55,31,114,2
14.11.2020 15:22:56,30.9,106,2
14.11.2020 15:22:57,30.9,105,2
14.11.2020 15:22:58,30.9,102,2
14.11.2020 15:22:59,48.1,105,2
14.11.2020 15:23:00,31.2,159,2
14.11.2020 15:23:01,31.5,189,2
14.11.2020 15:23:02,31.9,173,2
14.11.2020 15:23:03,32.1,119,2
14.11.2020 15:23:04,32.2,167,2
14.11.2020 15:23:05,32.3,184,2
14.11.2020 15:23:06,32.3,197,2
14.11.2020 15:23:07,32.4,198,2
14.11.2020 15:23:08,48.1,175,2
14.11.2020 15:23:09,32.5,162,2
14.11.2020 15:23:10,32.6,153,2
14.11.2020 15:23:11,32.9,152,2
14.11.2020 15:23:12,33,161,2
14.11.2020 15:23:13,33.1,158,2
14.11.2020 15:23:14,33.1,195,2
14.11.2020 15:23:15,33.1,184,2
14.11.2020 15:23:16,33,153,2
14.11.2020 15:23:17,48.1,154,2
14.11.2020 15:23:18,32.9,144,2
14.11.2020 15:23:19,33.1,158,2
14.11.2020 15:23:20,33.3,162,2
14.11.2020 15:23:21,33.2,158,2
14.11.2020 15:23:22,33,137,2
14.11.2020 15:23:23,32.9,125,2
14.11.2020 15:23:24,32.9,119,2
14.11.2020 15:23:25,33,116,2
14.11.2020 15:23:26,48.1,139,2
14.11.2020 15:23:27,33.3,150,2
14.11.2020 15:23:28,33.5,147,2
14.11.2020 15:23:29,33.2,130,2
14.11.2020 15:23:30,33.1,115,2
14.11.2020 15:23:31,33.1,110,2
14.11.2020 15:23:32,33.1,113,2
14.11.2020 15:23:33,33.1,111,2
14.11.2020 15:23:34,48.1,106,2
14.11.2020 15:23:35,33.1,117,2
14.11.2020 15:23:36,33.2,128,2
14.11.2020 15:23:37,33.4,129,2
14.11.2020 15:23:38,33.4,116,2
14.11.2020 15:23:39,33.4,121,2
14.11.2020 15:23:40,33.6,116,2
14.11.2020 15:23:41,33.7,130,2
14.11.2020 15:23:42,48.1,124,2
14.11.2020 15:23:43,33.7,125,2
14.11.2020 15:23:44,33.9,133,2
14.11.2020 15:23:45,34.1,149,2
14.11.2020 15:23:46,34.3,155,2
14.11.2020 15:23:47,34.2,135,2
14.11.2020 15:23:48,34.1,122,2
14.11.2020 15:23:49,34.1,116,2
14.11.2020 15:23:50,48.1,117,2
14.11.2020 15:23:51,34,118,2
14.11.2020 15:23:52,48.1,114,2
14.11.2020 15:23:53,34.1,108,2
14.11.2020 15:23:54,34.1,110,2
14.11.2020 15:23:55,34.1,115,2
14.11.2020 15:23:56,34.2,117,2
14.11.2020 15:23:57,34.2,118,2
14.11.2020 15:23:58,34.3,116,2
14.11.2020 15:23:59,34.4,113,2
14.11.2020 15:24:00,48.1,114,2
14.11.2020 15:24:01,34.4,110,2
14.11.2020 15:24:02,34.4,109,2
14.11.2020 15:24:03,34.6,123,2
14.11.2020 15:24:04,34.6,121,2
14.11.2020 15:24:05,35,138,2
14.11.2020 15:24:06,35,132,2
14.11.2020 15:24:07,48.1,124,2
14.11.2020 15:24:08,34.9,117,2
14.11.2020 15:24:09,35,110,2
14.11.2020 15:24:10,35,110,2
14.11.2020 15:24:11,35,110,2
14.11.2020 15:24:12,35,114,2
14.11.2020 15:24:13,35.2,124,2
14.11.2020 15:24:14,35.5,119,2
14.11.2020 15:24:15,35.5,132,2
14.11.2020 15:24:16,35.6,133,2
14.11.2020 15:24:17,35.5,131,2
14.11.2020 15:24:18,48.1,116,2
14.11.2020 15:24:19,35.7,139,2
14.11.2020 15:24:20,36,166,2
14.11.2020 15:24:21,36.3,176,2
14.11.2020 15:24:22,36.4,185,2
14.11.2020 15:24:23,36.6,175,2
14.11.2020 15:24:24,37,172,2
14.11.2020 15:24:25,37.1,165,2
14.11.2020 15:24:26,48.1,153,2
14.11.2020 15:24:27,37.2,145,2
14.11.2020 15:24:28,37.2,136,2
14.11.2020 15:24:29,37.1,129,2
14.11.2020 15:24:30,37,115,2
14.11.2020 15:24:31,36.8,105,2
14.11.2020 15:24:32,36.6,99,2
14.11.2020 15:24:33,37,114,2
14.11.2020 15:24:34,37.3,145,2
14.11.2020 15:24:35,48.1,164,2
14.11.2020 15:24:36,37.5,172,2
14.11.2020 15:24:37,37.8,165,2
14.11.2020 15:24:38,37.9,165,2
14.11.2020 15:24:39,38,165,2
14.11.2020 15:24:40,38.1,156,2
14.11.2020 15:24:41,38,138,2
14.11.2020 15:24:42,37.7,124,2
14.11.2020 15:24:43,48.1,116,2
14.11.2020 15:24:44,37.6,105,2
14.11.2020 15:24:45,37.5,109,2
14.11.2020 15:24:46,37.7,126,2
14.11.2020 15:24:47,38,142,2
14.11.2020 15:24:48,37.9,129,2
14.11.2020 15:24:49,37.8,114,2
14.11.2020 15:24:50,37.7,106,2
14.11.2020 15:24:51,37.6,108,2
14.11.2020 15:24:52,48.1,104,2
14.11.2020 15:24:53,37.6,102,2
14.11.2020 15:24:54,37.6,114,2
14.11.2020 15:24:55,37.7,121,2
14.11.2020 15:24:56,37.7,116,2
14.11.2020 15:24:57,37.9,142,2
14.11.2020 15:24:58,38.2,160,2
14.11.2020 15:24:59,38.4,152,2
14.11.2020 15:25:00,38.7,162,2
14.11.2020 15:25:01,48.1,160,2
14.11.2020 15:25:02,38.9,141,2
14.11.2020 15:25:03,39.2,101,2
14.11.2020 15:25:04,39.3,115,2
14.11.2020 15:25:05,39.7,152,2
14.11.2020 15:25:06,39.8,150,2
14.11.2020 15:25:07,39.5,137,2
14.11.2020 15:25:08,39.3,132,2
14.11.2020 15:25:09,39.1,127,2
14.11.2020 15:25:10,39,127,2
14.11.2020 15:25:11,38.9,131,2
14.11.2020 15:25:12,39,140,2
14.11.2020 15:25:13,39,135,2
14.11.2020 15:25:14,39,129,2
14.11.2020 15:25:15,38.9,124,2
14.11.2020 15:25:16,38.9,126,2
14.11.2020 15:25:17,38.9,122,2
14.11.2020 15:25:18,39,125,2
14.11.2020 15:25:19,39,121,2
14.11.2020 15:25:20,39,121,2
14.11.2020 15:25:21,39,121,2
14.11.2020 15:25:22,39.2,145,2
14.11.2020 15:25:23,39.5,163,2
14.11.2020 15:25:24,39.7,170,2
14.11.2020 15:25:25,39.7,154,2
14.11.2020 15:25:26,39.7,142,2
14.11.2020 15:25:27,48.1,136,2
14.11.2020 15:25:28,39.6,124,2
14.11.2020 15:25:29,39.7,128,2
14.11.2020 15:25:30,39.7,125,2
14.11.2020 15:25:31,39.7,131,2
14.11.2020 15:25:32,39.7,132,2
14.11.2020 15:25:33,39.7,130,2
14.11.2020 15:25:34,39.7,130,2
14.11.2020 15:25:35,39.9,149,2
14.11.2020 15:25:36,40.2,164,2
14.11.2020 15:25:37,40.2,149,2
14.11.2020 15:25:38,40.2,136,2
14.11.2020 15:25:39,40.2,134,2
14.11.2020 15:25:40,40.2,136,2
14.11.2020 15:25:41,40.2,134,2
14.11.2020 15:25:42,40.2,127,2
14.11.2020 15:25:43,40.1,119,2
14.11.2020 15:25:44,40.2,131,2
14.11.2020 15:25:45,40.3,133,2
14.11.2020 15:25:46,40.4,130,2
14.11.2020 15:25:47,40.5,129,2
14.11.2020 15:25:48,40.5,128,2
14.11.2020 15:25:49,40.5,124,2
14.11.2020 15:25:50,40.5,132,2
14.11.2020 15:25:51,40.6,131,2
14.11.2020 15:25:52,40.7,139,2
14.11.2020 15:25:53,40.8,134,2
14.11.2020 15:25:54,40.8,130,2
14.11.2020 15:25:55,40.8,126,2
14.11.2020 15:25:56,40.8,120,2
14.11.2020 15:25:57,41,136,2
14.11.2020 15:25:58,41,130,2
14.11.2020 15:25:59,41.1,131,2
14.11.2020 15:26:00,41.2,139,2
14.11.2020 15:26:01,41.2,136,2
14.11.2020 15:26:02,41.2,129,2
14.11.2020 15:26:03,41.2,130,2
14.11.2020 15:26:04,41.3,133,2
14.11.2020 15:26:05,41.3,130,2
14.11.2020 15:26:06,41.4,129,2
14.11.2020 15:26:07,41.5,138,2
14.11.2020 15:26:08,41.6,139,2
14.11.2020 15:26:09,41.6,135,2
14.11.2020 15:26:10,41.7,137,2
14.11.2020 15:26:11,41.8,137,2
14.11.2020 15:26:12,41.7,134,2
14.11.2020 15:26:13,41.7,125,2
14.11.2020 15:26:14,41.7,130,2
14.11.2020 15:26:15,41.7,124,2
14.11.2020 15:26:16,41.8,140,2
14.11.2020 15:26:17,42,151,2
14.11.2020 15:26:18,42.1,143,2
14.11.2020 15:26:19,42.2,140,2
14.11.2020 15:26:20,42.2,132,2
14.11.2020 15:26:21,42.1,127,2
14.11.2020 15:26:22,42.1,130,2
