time,outdoor_temp,zone_temp,occupancy,supply_temp,air_flow
7/4/17 6:40,20,21.30626975,0,19.36292467,0.377812386
7/4/17 6:45,20.25,21.24606655,0,19.30685496,0.377812386
7/4/17 6:50,20.5,21.21383632,0,19.24652618,0.377812386
7/4/17 6:55,20.75,21.19518065,0,19.19693956,0.377812386
7/4/17 7:00,21,21.18411064,0,19.15550395,0.377812386
7/4/17 7:05,21.16666667,21.17865751,0,19.1241359,0.377812386
7/4/17 7:10,21.33333333,21.17880933,0,19.10116117,0.377812386
7/4/17 7:15,21.5,21.184816,0,19.08634592,0.377812386
7/4/17 7:20,21.66666667,21.19667668,0,19.07945668,0.377812386
7/4/17 7:25,21.83333333,21.21422646,0,19.08030098,0.377812386
7/4/17 7:30,22,21.23729217,0,19.08884522,0.377812386
7/4/17 7:35,22.16666667,21.26717066,0,19.12523809,0.377812386
7/4/17 7:40,22.33333333,21.30372852,0,19.17046663,0.377812386
7/4/17 7:45,22.5,21.34613203,0,19.2233113,0.377812386
7/4/17 7:50,22.66666667,21.39317093,0,19.27922396,0.377812386
7/4/17 7:55,22.83333333,21.44523704,0,19.34844976,0.377812386
7/4/17 8:00,23,21.50178014,0,19.41981471,0.377812386
7/4/17 8:05,23.25,21.3878938,10,17.97430302,0.731824366
7/4/17 8:10,23.5,21.25833532,10,17.75066389,0.731824366
7/4/17 8:15,23.75,21.24930916,10,17.85820451,0.731824366
7/4/17 8:20,24,21.30493049,10,17.83789771,0.731824366
7/4/17 8:25,24.25,21.37793593,10,17.87221808,0.731824366
7/4/17 8:30,24.5,21.45155386,10,17.91037513,0.731824366
7/4/17 8:35,24.75,21.52828856,10,17.96578769,0.731824366
7/4/17 8:40,25,21.61041664,10,18.02854751,0.731824366
7/4/17 8:45,25.25,21.6968895,10,18.09619693,0.731824366
7/4/17 8:50,25.5,21.7861834,10,18.16900188,0.731824366
7/4/17 8:55,25.75,21.87713665,10,18.24474742,0.731824366
7/4/17 9:00,26,21.96901362,10,18.32272167,0.731824366
7/4/17 9:05,26.16666667,22.06337397,10,17.83130939,0.731824366
7/4/17 9:10,26.33333333,22.15950701,10,17.90458617,0.731824366
7/4/17 9:15,26.5,22.25318125,10,17.970156,0.731824366
7/4/17 9:20,26.66666667,22.34506785,10,18.04253666,0.731824366
7/4/17 9:25,26.83333333,22.43526826,10,18.11141588,0.731824366
7/4/17 9:30,27,22.51458333,10,18.13675834,0.731824366
7/4/17 9:35,27.16666667,22.58192416,10,18.15433035,0.731824366
7/4/17 9:40,27.33333333,22.64327222,10,18.17781991,0.731824366
7/4/17 9:45,27.5,22.70350169,10,18.20644197,0.731824366
7/4/17 9:50,27.66666667,22.76436411,10,18.24004144,0.731824366
7/4/17 9:55,27.83333333,22.82602525,10,18.27842084,0.731824366
7/4/17 10:00,28,22.88841549,10,18.32138753,0.731824366
7/4/17 10:05,28.16666667,22.95452514,10,18.35683284,0.731824366
7/4/17 10:10,28.33333333,23.02177508,10,18.40538555,0.731824366
7/4/17 10:15,28.5,23.08894632,10,18.45888239,0.731824366
7/4/17 10:20,28.66666667,23.15635083,10,18.51655365,0.731824366
7/4/17 10:25,28.83333333,23.22452691,10,18.57809119,0.731824366
7/4/17 10:30,29,23.29371209,10,18.64324683,0.731824366
7/4/17 10:35,29.16666667,23.3642696,10,18.71349671,0.731824366
7/4/17 10:40,29.33333333,23.42233598,10,18.72242894,0.731824366
7/4/17 10:45,29.5,23.46549842,10,18.70181589,0.731824366
7/4/17 10:50,29.66666667,23.50230091,10,18.70239036,0.731824366
7/4/17 10:55,29.83333333,23.53346119,10,18.68402701,0.731824366
7/4/17 11:00,30,23.56081999,10,18.66888072,0.731824366
7/4/17 11:05,30.08333333,23.68498867,8,18.82207281,0.66102197
7/4/17 11:10,30.16666667,23.80186118,8,18.8288663,0.66102197
7/4/17 11:15,30.25,23.87092862,8,18.82647828,0.66102197
7/4/17 11:20,30.33333333,23.89586455,8,18.81700772,0.668563349
7/4/17 11:25,30.41666667,23.90089413,8,18.80848687,0.675158856
7/4/17 11:30,30.5,23.90189916,8,18.79986195,0.680952054
7/4/17 11:35,30.58333333,23.90207697,8,18.79186295,0.686749989
7/4/17 11:40,30.66666667,23.9020856,8,18.7840898,0.691467561
7/4/17 11:45,30.75,23.90206085,8,18.77585262,0.695478874
7/4/17 11:50,30.83333333,23.90202845,8,18.76687407,0.699015469
7/4/17 11:55,30.91666667,23.90199402,8,18.75722235,0.702137113
7/4/17 12:00,31,23.90196017,8,18.74685202,0.704905286
7/4/17 12:05,31,23.90196795,4,19.13308266,0.708719704
7/4/17 12:10,31,23.90172279,4,19.15170899,0.711120639
7/4/17 12:15,31,23.90151307,4,19.16481802,0.713545693
7/4/17 12:20,31,23.90147067,4,19.17377916,0.715629074
7/4/17 12:25,31,23.90148757,4,19.17984602,0.717485087
7/4/17 12:30,31,23.90146762,4,19.18390388,0.719188719
7/4/17 12:35,31,23.90141797,4,19.19125355,0.721117205
7/4/17 12:40,31,23.90137189,4,19.19790737,0.722941812
7/4/17 12:45,31,23.90133646,4,19.20410668,0.724721555
7/4/17 12:50,31,23.90130269,4,19.20917172,0.726348796
7/4/17 12:55,31,23.90126679,4,19.21340064,0.727860497
7/4/17 13:00,31,23.90123133,4,19.21696996,0.729275786
7/4/17 13:05,31.08333333,23.90131027,8,18.84879995,0.727492712
7/4/17 13:10,31.16666667,23.90162616,8,18.82770574,0.728567689
7/4/17 13:15,31.25,23.90187549,8,18.8099225,0.729504395
7/4/17 13:20,31.33333333,23.90195249,8,18.79768531,0.73122481
7/4/17 13:25,31.41666667,23.90197594,8,18.78316753,0.732617181
7/4/17 13:30,31.5,23.90203692,8,18.76141783,0.73298532
7/4/17 13:35,31.58333333,23.90212621,8,18.74091214,0.732957044
7/4/17 13:40,31.66666667,23.9022091,8,18.71764255,0.732459723
7/4/17 13:45,31.75,23.90228259,8,18.69832308,0.732475151
7/4/17 13:50,31.83333333,23.90235449,8,18.67899021,0.732447643
7/4/17 13:55,31.91666667,23.90242807,8,18.6599219,0.732420373
7/4/17 14:00,32,23.90250074,8,18.64091096,0.732390875
7/4/17 14:05,32.08333333,23.90235836,10,18.54034885,0.733181593
7/4/17 14:10,32.16666667,23.90234459,10,18.50689885,0.732812774
7/4/17 14:15,32.25,23.90235314,10,18.47948072,0.732809866
7/4/17 14:20,32.33333333,23.9022882,10,18.45397546,0.73284659
7/4/17 14:25,32.41666667,23.90219003,10,18.43008577,0.732905092
7/4/17 14:30,32.5,23.90211125,10,18.40714273,0.732919288
7/4/17 14:35,32.58333333,23.90205273,10,18.38265405,0.732924905
7/4/17 14:40,32.66666667,23.90199712,10,18.35916594,0.732959337
7/4/17 14:45,32.75,23.90193949,10,18.3366409,0.732992724
7/4/17 14:50,32.83333333,23.90188401,10,18.3150911,0.733023805
7/4/17 14:55,32.91666667,23.90183251,10,18.29450426,0.733051317
7/4/17 15:00,33,23.90178348,10,18.27490063,0.733076626
7/4/17 15:05,33,23.90180891,10,18.37363736,0.733186399
7/4/17 15:10,33,23.9018246,10,18.36353913,0.733051483
7/4/17 15:15,33,23.90182844,10,18.35580813,0.7330557
7/4/17 15:20,33,23.90183154,10,18.34977213,0.733054214
7/4/17 15:25,33,23.90183738,10,18.34547919,0.73305011
